id_prov,dapil,jumlah_kursi,pp1,pp2,pp3,pp4,pp5,pp6,pp7,pp8,pp9,pp10,pp14,pp15
11,ACEH I ,7,1,1,1,0,1,1,1,1,0,0,0,0
11,ACEH II ,6,1,0,0,1,1,1,1,0,1,0,0,0
12,SUMATERA UTARA  I ,10,1,0,1,2,1,1,1,1,1,1,0,0
12,SUMATERA UTARA  II ,10,1,1,1,1,1,2,1,1,0,1,0,0
12,SUMATERA UTARA  III ,10,1,0,1,1,2,1,1,1,1,1,0,0
13,SUMATERA BARAT  I ,8,1,0,1,1,1,1,1,1,1,0,0,0
13,SUMATERA BARAT  II ,6,0,0,1,1,1,1,1,0,1,0,0,0
14,RIAU  I ,6,0,0,1,1,1,1,1,1,0,0,0,0
14,RIAU  II ,5,0,1,0,1,1,1,1,0,0,0,0,0
15,JAMBI ,7,0,1,0,1,1,1,1,1,1,0,0,0
16,SUMATERA SELATAN  I ,8,0,0,1,1,2,1,1,1,0,1,0,0
16,SUMATERA SELATAN  II ,9,1,1,1,2,1,1,1,1,0,0,0,0
17,BENGKULU ,4,1,0,0,1,0,1,0,1,0,0,0,0
18,LAMPUNG  I ,9,0,1,1,2,1,1,1,1,0,1,0,0
18,LAMPUNG  II ,9,1,1,1,2,1,1,1,1,0,0,0,0
19,BANGKA BELITUNG ,3,0,0,0,1,1,0,1,0,0,0,0,0
21,KEPULAUAN RIAU ,3,1,0,0,1,0,0,0,1,0,0,0,0
31,DKI JAKARTA  I ,6,0,0,1,1,1,1,1,0,1,0,0,0
31,DKI JAKARTA  II ,7,0,0,1,2,1,1,1,0,1,0,0,0
31,DKI JAKARTA  III ,8,1,0,1,3,1,1,0,0,1,0,0,0
32,JAWA BARAT  I ,7,0,0,1,2,1,1,1,0,0,1,0,0
32,JAWA BARAT  II ,10,0,1,1,2,2,1,1,1,0,1,0,0
32,JAWA BARAT  III ,9,0,1,1,1,2,1,1,0,1,1,0,0
32,JAWA BARAT  IV ,6,0,0,1,1,1,1,0,1,1,0,0,0
32,JAWA BARAT  V ,9,0,0,1,2,2,1,1,1,1,0,0,0
32,JAWA BARAT  VI ,6,0,0,1,2,1,1,0,1,0,0,0,0
32,JAWA BARAT  VII ,10,0,1,1,2,2,1,1,1,1,0,0,0
32,JAWA BARAT  VIII ,9,0,1,1,2,2,1,1,0,0,1,0,0
32,JAWA BARAT  IX ,8,0,1,1,2,1,1,1,0,1,0,0,0
32,JAWA BARAT  X ,7,0,1,1,1,1,0,1,1,1,0,0,0
32,JAWA BARAT  XI ,10,1,1,1,1,2,1,1,1,1,0,0,0
33,JAWA TENGAH  I ,8,1,1,0,2,1,1,1,1,0,0,0,0
33,JAWA TENGAH  II ,7,1,1,0,1,2,1,0,0,1,0,0,0
